Tweet ID,Tweet URL,Tweet Posted Time,Tweet Type,Tweet Text,Tweet Text Length,Client,Client URL,Total Retweets,Total Likes,Total Quoted,Total Replies,Language,Sensitive Content,Replying To Username,Mentions,Hashtags,Emojis,Symbols,Total Mentions,Total Hashtags,Total URLs,Total Media,Total Emojis,Total Symbols,Total Polls,URL,Media Type,Media URL,Media Alt Text,Tweet Truncated,Original Author Twitter ID,Original Author Full name,Original Author Screen name,Original Author Location,Original Author Description (Bio),Original Author Website,Original Author Total Followers,Original Author Total Following,Original Author Total Public Lists,Original Author Total Likes,Original Author Total Tweets,Original Author Verified Account,Original Author Protected Tweets,Original Author Has NFT Avatar,Original Author Created At (UTC),Original Author Possible Email,Original Author Possible Phone
1397968553328840705,https://twitter.com/carolinecapital/status/1397968553328840705,2021-05-27 17:30:50,Tweet,"""X has been updating towards Y, they'll probably keep doing that"" vs ""wait but if you're a Bayesian reasoner your updates shouldn't be autocorrelated"" vs ""yeah but even if they're not people expect them to be so you might wanna communicate as if they are for Legibility""",274,Twitter Web App,https://mobile.twitter.com,9,47,1,11,en,,,"","","","",0,0,0,0,0,0,0,,,,,,1368514414505193475,Caroline,carolinecapital,"","crypto trader, effective altruist. not financial advice",,63528,143,640,87,71,false,false,false,2021-03-07 10:51:55,"",""
1397964366784339969,https://twitter.com/carolinecapital/status/1397964366784339969,2021-05-27 17:14:12,Reply,@barnji @theemilyaccount fyi I now have new glasses. only after having broken ones for like 2 months though,107,Twitter Web App,https://mobile.twitter.com,0,2,0,0,en,,carolinecapital,"barnji,theemilyaccount","","","",2,0,0,0,0,0,0,,,,,,1368514414505193475,Caroline,carolinecapital,"","crypto trader, effective altruist. not financial advice",,63528,143,640,87,71,false,false,false,2021-03-07 10:51:55,"",""
1397964066484674562,https://twitter.com/carolinecapital/status/1397964066484674562,2021-05-27 17:13:01,Reply,@barnji @theemilyaccount omg thank you for being the first and only positive feedback I have gotten on the broken glasses,121,Twitter Web App,https://mobile.twitter.com,0,2,0,2,en,,barnji,"barnji,theemilyaccount","","","",2,0,0,0,0,0,0,,,,,,1368514414505193475,Caroline,carolinecapital,"","crypto trader, effective altruist. not financial advice",,63528,143,640,87,71,false,false,false,2021-03-07 10:51:55,"",""
1381985596030115842,https://twitter.com/carolinecapital/status/1381985596030115842,2021-04-13 15:00:16,Reply,"@noahkreutter @cmsholdings like if you think something is 90% to fail and 10% to have huge upside, you acknowledge that and make decisions accordingly ... but also spend most of your time thinking and talking about the upside and feel really excited about it",258,Twitter Web App,https://mobile.twitter.com,2,4,1,1,en,,carolinecapital,cmsholdings,"","","",1,0,0,0,0,0,0,,,,,,1368514414505193475,Caroline,carolinecapital,"","crypto trader, effective altruist. not financial advice",,63528,143,640,87,71,false,false,false,2021-03-07 10:51:55,"",""
1381985196690472960,https://twitter.com/carolinecapital/status/1381985196690472960,2021-04-13 14:58:41,Reply,@noahkreutter @cmsholdings 2) it's important for your actual endorsed probabilities to be correctly calibrated but I think there's a sort of qualitative optimism/overconfidence that helps,187,Twitter Web App,https://mobile.twitter.com,2,3,0,1,en,,carolinecapital,cmsholdings,"","","",1,0,0,0,0,0,0,,,,,,1368514414505193475,Caroline,carolinecapital,"","crypto trader, effective altruist. not financial advice",,63528,143,640,87,71,false,false,false,2021-03-07 10:51:55,"",""
1381984741704933377,https://twitter.com/carolinecapital/status/1381984741704933377,2021-04-13 14:56:53,Reply,"@noahkreutter @cmsholdings 1) you have to willfully ignore the outside view to get those investments, because the prior for a random person in the world who thinks they've found such an investment is that they're probably wrong and it's a scam",243,Twitter Web App,https://mobile.twitter.com,1,4,1,1,en,,carolinecapital,cmsholdings,"","","",1,0,0,0,0,0,0,,,,,,1368514414505193475,Caroline,carolinecapital,"","crypto trader, effective altruist. not financial advice",,63528,143,640,87,71,false,false,false,2021-03-07 10:51:55,"",""
1381984286442549255,https://twitter.com/carolinecapital/status/1381984286442549255,2021-04-13 14:55:04,Reply,"@noahkreutter @cmsholdings ya it's rational in the sense of ""rationality is winning"" but I think there are a couple ways it feels like irrationality from the inside",164,Twitter Web App,https://mobile.twitter.com,0,0,0,1,en,,nkreu113r,cmsholdings,"","","",1,0,0,0,0,0,0,,,,,,1368514414505193475,Caroline,carolinecapital,"","crypto trader, effective altruist. not financial advice",,63528,143,640,87,71,false,false,false,2021-03-07 10:51:55,"",""
1380832245649408000,https://twitter.com/carolinecapital/status/1380832245649408000,2021-04-10 10:37:16,Reply,"ppl: so how do you price stocks 24/7 even when the market is closed? me: uh. sophisticated proprietary techniques [frantically types variants on ""fair price of $BABA right now"" into twitter search bar]",202,Twitter Web App,https://mobile.twitter.com,15,54,10,10,en,,carolinecapital,"","","",BABA,0,0,0,0,0,1,0,,,,,,1368514414505193475,Caroline,carolinecapital,"","crypto trader, effective altruist. not financial advice",,63528,143,640,87,71,false,false,false,2021-03-07 10:51:55,"",""
1380832244277727232,https://twitter.com/carolinecapital/status/1380832244277727232,2021-04-10 10:37:16,Tweet,so does anyone know what the price impact of the alibaba news should be? jw,75,Twitter Web App,https://mobile.twitter.com,9,29,3,7,en,,,"","","","",0,0,0,0,0,0,0,,,,,,1368514414505193475,Caroline,carolinecapital,"","crypto trader, effective altruist. not financial advice",,63528,143,640,87,71,false,false,false,2021-03-07 10:51:55,"",""
1379739616970862593,https://twitter.com/carolinecapital/status/1379739616970862593,2021-04-07 10:15:33,Reply,@AlamedaTrabucco no,19,Twitter Web App,https://mobile.twitter.com,0,4,0,1,und,,AlamedaTrabucco,AlamedaTrabucco,"","","",1,0,0,0,0,0,0,,,,,,1368514414505193475,Caroline,carolinecapital,"","crypto trader, effective altruist. not financial advice",,63528,143,640,87,71,false,false,false,2021-03-07 10:51:55,"",""
